Vname,UpName,Vlong,Source,Uptime,UpID,VID,RelatedVs,newDayviews,Sales,Price,Commission,TotalLikes,TotalComments,Changerate,PLink
科莱丽(Clarisonic)洁面仪  声波电动清洁毛孔 Prima白色 净黑头洗脸仪 美容仪,伍妹儿May,55,京东,2019-06-08 12:44:19,59795601557,6699787832938056963,0,0,511,899.00,21.96,11565,136,1.18%,https://u.jd.com/uKkKib
抖音同款uh防晒喷雾美白正品官网隔离素颜霜网红防嗮定妆粉底液,耀阳,19,淘宝,2018-05-24 15:29:15,58932770511,6559045685721697544,0,0,0,135.24,0,552,34,6.16%,https://s.click.taobao.com/t?e=m%3D2%26s%3DawwsnZWFl7kcQipKwQzePOeEDrYVVa64XoO8tOebS%2BdRAdhuF14FMWTFpsoO3xjRRitN3%2FurF3xPUTXRfTxtdOeA%2FTvyFkOPlZTBKgNz8E%2BINbQy7yLDlotgwMO1YqTJ4q%2BRXokHRqtJj8mT44MdBHQC%2B2qnp67EEyKaxvLNkvHx%2B5NM0%2BTFYhIjP5Uhv22UmkedhUwPY5w0bUeiX0TxzthHXoWup6v%2F1JztS5T9N8ZsDXOMSSE4cWzYH9icsF5rw9IjAsyj0XpBdawJv%2B6ZmqJn5AyUbPoV
锰宝抖音同款葵儿红石榴鲜妍防护喷雾隔离防霾网红保湿补水素颜霜,锰宝【9.21日14:00中国黄金专场】,13,淘宝,2018-06-02 15:02:15,55105735143,6562379016005750023,0,0,3,138.00,4.14,68552,880,1.28%,https://s.click.taobao.com/t?e=m%3D2%26s%3DU2ydNtsK1rAcQipKwQzePOeEDrYVVa64XoO8tOebS%2BdRAdhuF14FMcpXfIujnwnjMMgx22UI05bu6K%2BnQlxw%2BpvAjcVwRuAsake20CRb0Imqkx9CS2lN%2FotgwMO1YqTJ4q%2BRXokHRqtJj8mT44MdBHQC%2B2qnp67EgQ375PBbUS%2Fj8wECb3MBJRIjP5Uhv22U9Sns0fBfh2EW%2Bz6qkRKDDthHXoWup6v%2F1JztS5T9N8Z040xTe74sItAtu5t0lvo341YlJTA1HMO9KzILw1MW6qJn5AyUbPoV
锰宝抖音同款葵儿水光气垫cc霜水润保湿网红裸妆遮瑕,文尤里,5,淘宝,2018-05-24 22:35:47,52240682941,6559156094600482055,0,0,0,158.00,4.74,403934,2897,0.72%,https://s.click.taobao.com/t?e=m%3D2%26s%3DXOpRbNbZN7ccQipKwQzePOeEDrYVVa64XoO8tOebS%2BdRAdhuF14FMfsfsX7vbryElovu%2FCElQOs91dQtEdWoTFMNYyN%2FM4lc%2Bo1rU6CLfUdHBqNiZwnTMotgwMO1YqTJ4q%2BRXokHRqtJj8mT44MdBHQC%2B2qnp67EgQ375PBbUS%2Fj8wECb3MBJRIjP5Uhv22UW1KfEXxLMoL7Mb0tNMHk6dhHXoWup6v%2F1JztS5T9N8Z040xTe74sItAtu5t0lvo341YlJTA1HMO9KzILw1MW6qJn5AyUbPoV
Ziaja 齐叶雅 羊奶面膜 7毫升*20袋/盒 补水滋润 细腻嫩肤,波兰??白发魔女,28,考拉,2019-08-01 17:48:01,96742453884,6720132924131249415,0,-1,151844,99.00,2.97,5338,287,5.38%,https://m-goods.kaola.com/product/1618090.html
丽得姿 LEADERS  领先润美植萃弹力面膜 补水保湿弹润紧致针剂安瓶面膜6支/盒,麻花可可（周三周五直播直播）,45,京东,2019-06-14 17:51:52,105945146047,6702039965351562500,0,-1,6,179.00,7.91,20778,107,0.51%,https://u.jd.com/gXTva2
百雀羚精华液女 复活小绿瓶 肌初赋活抚纹精华液30ml 补水保湿提拉紧致面部精华水,你的晴天雨,27,京东,2019-08-24 15:32:06,83784860462,6728632841199963399,0,-3,7794,260.00,4.98,10447,246,2.35%,https://u.jd.com/t2EpEm
迷奇胶原蛋白滋养控油爽肤水女收缩毛孔补水保湿护肤水国货柔肤水,小喵Meow,53,淘宝,2019-06-29 18:02:45,93579812328,6707598542191512840,0,-5,245,90.00,10.22,15843,122,0.77%,https://s.click.taobao.com/t?e=m%3D2%26s%3DjDEr6sj4NDNw4vFB6t2Z2ueEDrYVVa64yK8Cckff7TVRAdhuF14FMRi7OPAvyXMvlovu%2FCElQOtPUTXRfTxtdBjNNxDoPM6pXxvPZ6IQDhYMb6OLEDGGbSQYRxDRWsrMC3rk1f1IplUdxbgTw2r%2BqYwe6%2FtGg2%2FRSyiL934V8t7Ny6VfD8aHxJ6P%2Fjo9mSm0fWsUjZoD5RD%2BsxD2%2FNioFGCvfL4hBkYXk8JK01RBLHZtu84DtRxauk9RNdF9PG1054D9O%2FIWQ49pVxino%2Fzbzy8o1osRP5OTxgxdTc00KD8%3D&union_lens=lensId:0b013a8d_77eb_16eeb4c7800_64e5&xId=GkxuPRJPAZqbZAA0pKNGDkF4xUBfM2CYpXRYQMwFJggDLy2hmDu27BVeZ0umNvrLlVQS3h8ejae3km6xvXLEUb&union_lens=lensId:0b14db34_0cdd_16eeb4c7802_0448
兰芝水光修颜隔离霜妆前乳合一遮瑕保湿防晒打底提亮肤色女正品,❤大猫妈妈,47,天猫,2019-05-08 19:56:25,73712010674,6688442047487102212,0,-5,1518,265.00,2.65,62355,1828,2.93%,https://detail.tmall.com/item.htm?id=19256518083
佳洁士电动牙刷 成人声波美白 小白刷高配旗舰智能充电式 致美玫瑰金S411,陶鹿鹿,52,京东,2019-08-05 18:41:27,60655602362,6721631033931861262,0,-9,288,399.00,26.94,1721227,7361,0.43%,https://u.jd.com/jcnxGT
