Vname,UpName,Vlong,Source,Uptime,UpID,VID,RelatedVs,newDayviews,Sales,Price,Commission,TotalLikes,TotalComments,Changerate,PLink
PRAMY/柏瑞美梦幻星河波光口红女持久保湿不易脱色,二喵果酱,23,淘宝,2019-08-02 19:56:05,64511499102,6720379657356676356,0,0,0,89.90,0,1946,49,2.52%,https://s.click.taobao.com/t?e=m%3D2%26s%3DxU5F%2FnLLNZxw4vFB6t2Z2ueEDrYVVa64yK8Cckff7TVRAdhuF14FMdtk6CB5AxW0MMgx22UI05ZPUTXRfTxtdBjNNxDoPM6pXxvPZ6IQDhYMb6OLEDGGbSQYRxDRWsrMKs3oEkDg%2FuBKHNsnHWb%2BCgtkyqhBb5%2B4x8PUddoNe3CezgG9NfqeywojujuscY6D4JOed0Rxa6M%2BA7lq8pQKhyyoAT3FN3UX0y29cGg%2F%2FwibuYJg80O8pJfDF8hLtONLkQiIYXgiqB0g%2BBRJp5XnzaGG0TerL18CcSpj5qSCmbA%3D&union_lens=lensId:0b1540db_0c68_16ec2b47bcc_4f75&xId=vJ8xOijrAeaBr0sKBYI3mO5iBMroYWYX05VgtM3whzM4or8c77k5gfIhCipCUAYEAzPRzQcNLGdmddqqiG9TZd&union_lens=lensId:0b0fc015_0c87_16ec2b47bcf_5a95
MineTook苾桃水蜜桃美妆蛋套盒海绵 干湿两用不吃粉扑化妆工具,剁手小仙女,18,淘宝,2019-08-11 12:30:15,75242884780,6723761904348581128,0,0,0,15.00,0,6521,138,2.12%,https://s.click.taobao.com/t?e=m%3D2%26s%3DVCasG%2BuvXD5w4vFB6t2Z2ueEDrYVVa64XoO8tOebS%2BdRAdhuF14FMQKFc6is8pgG1aH1Hk3GeOhPUTXRfTxtdBjNNxDoPM6pXxvPZ6IQDhYMb6OLEDGGbSQYRxDRWsrMpWFekb2ux5ncrMGQCJtd7wtkyqhBb5%2B4x8PUddoNe3CezgG9NfqeywojujuscY6D4JOed0Rxa6OsQvjEEsTtUbZhpoKOA5xX0y29cGg%2F%2FwibuYJg80O8pJfDF8hLtONLkQiIYXgiqB0g%2BBRJp5XnzaGG0TerL18CcSpj5qSCmbA%3D&union_lens=lensId:0b157056_0c6f_16ebf852e5c_5b7d&xId=FbTsDg2vi9PWVwe5kqeV3G7G1f8cdoqXoCa3QyYvnPulgZyY4yIqeasCU5MPpqK6f8Xzj7O94v366oK8YdXzs3&union_lens=lensId:0b0adf2c_0d3b_16ebf852e5e_a46a
Elta md氨基酸泡沫洁面乳乐乐挚爱款温和卸妆洗面奶深层清洁男女,乐乐团长,25,淘宝,2019-07-24 12:23:13,94519450254,6716944760399006984,0,0,0,159.00,0,5334,455,8.53%,https://s.click.taobao.com/t?e=m%3D2%26s%3DxedaRpgagCxw4vFB6t2Z2ueEDrYVVa64XoO8tOebS%2BdRAdhuF14FMYaXG2zKvtNaRitN3%2FurF3xPUTXRfTxtdBjNNxDoPM6pXxvPZ6IQDhYMb6OLEDGGbSQYRxDRWsrMGyYO9%2Bb9fA5%2FsIAngN2GiM0Q9fK1X0AuhLjO8JFSuq5qGmoLahT%2BZz%2BFa8QW0pMbTc7jC1Dcr3S4%2FApvI96NZsjVto5k%2B90%2BBC%2F5hTq1fsccTNWtqRPezzPihM1enhJMVFzNXDvVTOYkiM0JmU9fSqK5FrSzWxEyPXsNY%2FsDjpw%3D&union_lens=lensId:0b083dd4_0c72_16ec166369f_d08f&xId=XfjniFc8JSouj2cs4Poof5thSHy0XQ9vDv7sMblUC2jREbDyTfcojpya1NTQ18QA3YDi0b9sUDwpgbOupuYdPW&union_lens=lensId:0b01eea0_0c3f_16ec16636a1_8ae7
伊芳妮一抹三色口红不脱色学生平价小众唇膏饱满口红不掉色不沾杯,我是阿菜心❤️,17,淘宝,2019-08-13 18:57:34,95331329205,6724603885995953411,0,0,0,71.90,0,6653,165,2.48%,https://s.click.taobao.com/t?e=m%3D2%26s%3DBACtffSaNsJw4vFB6t2Z2ueEDrYVVa64yK8Cckff7TVRAdhuF14FMdObNco3D38R8sviUM61dt1PUTXRfTxtdBjNNxDoPM6pXxvPZ6IQDhYMb6OLEDGGbSQYRxDRWsrM2z%2BCxGRjufeWNx6PHsCipQtkyqhBb5%2B4x8PUddoNe3CezgG9NfqeywojujuscY6D4JOed0Rxa6MHPFU3V%2FPLEMYsinM4S%2FAV0y29cGg%2F%2FwibuYJg80O8pJfDF8hLtONLkQiIYXgiqB0g%2BBRJp5XnzaGG0TerL18CcSpj5qSCmbA%3D&union_lens=lensId:0b01e2ce_0c40_16ebf8b60f0_bf85&xId=wMxACp1NCIwe6KNv8RBY32XHQHBbRXwm95fYfPk7xSlDMRAIKQRYl15Cam4yPqrYjUoLqZ3gbJ8OrbJ6ldJe2s&union_lens=lensId:0b08107f_0c8d_16ebf8b60f0_c43f
传奇今生红樱桃唇膏官方专柜正品健康变色保湿润口红官网旗舰女,木_笙?,9,淘宝,2019-07-10 11:33:12,62627437057,6711637771821305095,0,0,0,258.00,0,5454,159,2.92%,https://item.taobao.com/item.htm?id=598202978583
MULA木旯镜面唇釉玻璃唇滋润不易脱色学生平价口红成膜快果汁唇感,谢婷婷?22号晚7点福利直播送送送?,75,淘宝,2019-09-03 22:05:39,82925925998,6732444897116294411,0,0,0,59.00,0,55803,263,0.47%,https://s.click.taobao.com/t?e=m%3D2%26s%3DYrnVkdGrrTVw4vFB6t2Z2ueEDrYVVa64XoO8tOebS%2BdRAdhuF14FMY2iwPPc0gOMRitN3%2FurF3xPUTXRfTxtdBjNNxDoPM6pXxvPZ6IQDhYMb6OLEDGGbSQYRxDRWsrMPQ9ZGJUqa1fYgv019zNeJf1SarTXhIOTrhzfEh3ilxbYR16Frqer%2F9kYvQZuIwx3oGeIQL4Fi9ErxvMS%2FUP%2BtBcaAMjrRlmmk8JK01RBLHZtu84DtRxauk9RNdF9PG1054D9O%2FIWQ4%2BVlMEqA3PwTyB4b8xwNKLSxg5p7bh%2BFbQ%3D&union_lens=lensId:0b083dd4_0c72_16ec2a93e8c_5a25&xId=PCSq2umha7Fx1oYTVR8DNyCiD2DFgznMSELwT558Hen7d4ma8Ih0kG9Ed9KZgMSOFbqJLCXqFiLUkHkYG8gQDY&union_lens=lensId:0b1ae93d_0cbc_16ec2a93e8e_e8ed
凯驰男女孩儿童过家家化妆维修工具台厨房医生医具手提箱玩具套装,玩具益趣园,41,天猫,2019-09-23 11:27:11,61559875124,6739702310332550412,0,0,0,24.90,0,2634,24,0.91%,https://detail.tmall.com/item.htm?id=602323947037
欢宝同款 木乃伊化妆棉 可拉伸省水化妆棉薄款 脸部湿敷补水,早餐欢宝,59,淘宝,2019-09-21 08:25:19,59032230598,6738913266833050891,0,0,0,18.89,0,23342,835,3.58%,https://s.click.taobao.com/t?e=m%3D2%26s%3DCgQRv5WAcQdw4vFB6t2Z2ueEDrYVVa64XoO8tOebS%2BdRAdhuF14FMfEc9WLHjrra79%2FTFaMDK6RPUTXRfTxtdBjNNxDoPM6pXxvPZ6IQDhYMb6OLEDGGbSQYRxDRWsrMN44cmr0kG9q8fo4T5OvonAtkyqhBb5%2B4x8PUddoNe3CezgG9NfqeywojujuscY6D4JOed0Rxa6PS42%2FxDIdY%2FGvK2LWHvkio0y29cGg%2F%2FwibuYJg80O8pJfDF8hLtONLkQiIYXgiqB0g%2BBRJp5XnzaGG0TerL18CcSpj5qSCmbA%3D&union_lens=lensId:0b57b770_0c39_16ec299f505_2117&xId=ePIBNyoVYZXaE8Y0RzyU2JtfPRnmL6Mr9vMdOnrqg51HIVuTEN14X2Et6yPCQVSHByouMaYcSewqNwmyGFjXZ6&union_lens=lensId:0b150a5c_0bc1_16ec299f507_c5fc
珂曼CAREMILLE 精细双头雾眉笔防水防汗不脱色自然持久,Excel教学,15,抖音小店,2018-11-07 21:28:53,67054077078,6621109964683349256,0,0,0,39.00,0,675,36,5.33%,https://haohuo.jinritemai.com/views/product/item2?id=3289348629403446547&origin_type=2002001000&origin_id=6621109964683349256_3290989255371009968&alkey=1128_99514375927_6621109964683349256_3290989255371009968_011
珂曼CAREMILLE臻采丝绒唇釉口红防水保湿滋润可爱唇彩唇蜜唇膏,Excel教学,19,抖音小店,2018-10-04 15:23:28,67054077078,6608399056462941443,0,0,0,59.00,0,340,13,3.82%,https://haohuo.jinritemai.com/views/product/item2?id=3289356768358072491&origin_type=2002001000&origin_id=6608399056462941443_3290989105038795353&alkey=1128_99514375927_6608399056462941443_3290989105038795353_011
