Vname,UpName,Vlong,Source,Uptime,UpID,VID,RelatedVs,newDayviews,Sales,Price,Commission,TotalLikes,TotalComments,Changerate,PLink
曹国栋高光阴影修容盘遮瑕修容一体鼻影侧影提亮肤色珠光双修粉饼,化妆师~刘安琪?,30,淘宝,2019-07-18 13:01:08,74280738438,6714585838895860996,0,0,0,89.00,0,1772,160,9.03%,https://s.click.taobao.com/t?e=m%3D2%26s%3Dd6VZHkFpjcNw4vFB6t2Z2ueEDrYVVa64XoO8tOebS%2BdRAdhuF14FMSknvrOJwkH91aH1Hk3GeOhPUTXRfTxtdBjNNxDoPM6pXxvPZ6IQDhYMb6OLEDGGbSQYRxDRWsrM%2FvudUnULLUGvG73HVVDbiM0Q9fK1X0AuhLjO8JFSuq5qGmoLahT%2BZz%2BFa8QW0pMbTc7jC1Dcr3S4%2FApvI96NZgPFiYN2%2Fy4XSXx0Xoh79vYcTNWtqRPezzPihM1enhJMVFzNXDvVTOYkiM0JmU9fSqK5FrSzWxEyPXsNY%2FsDjpw%3D&union_lens=lensId:0b0b275f_0c2e_16ec15c37fe_642d&xId=KHmoXLuWilt3IoMD0Lguuvg1rIQpgmLrp8Rkk9HIE98u9XtWOsUJPXLQOnvq1XY7QGXq8jGcdjhdvmDKBKK256&union_lens=lensId:0b0b217b_0d38_16ec15c3800_6820
蒸脸器纳米喷雾补水仪器冷喷便携保湿脸部面部加湿神器小美容仪女,袋袋好物,12,天猫,2019-06-13 10:01:33,94664857609,6701544433948691716,0,0,0,13.50,0,1054,20,1.90%,https://detail.tmall.com/item.htm?id=588268041186
初夏堂001隔离霜妆前乳打底保湿平价好用的素颜女旗舰店官方正品,小橙子甜甜甜?,54,淘宝,2019-06-15 19:16:51,69626269119,6702587375828143373,0,0,0,64.98,0,8030,293,3.65%,https://s.click.taobao.com/t?e=m%3D2%26s%3DDzNKQqGxpEBw4vFB6t2Z2ueEDrYVVa64yK8Cckff7TVRAdhuF14FMdBrSNV9FzQ%2B79%2FTFaMDK6RPUTXRfTxtdBjNNxDoPM6pXxvPZ6IQDhYMb6OLEDGGbSQYRxDRWsrMBEnwb7Vg28e5sl7uOQcXlYwe6%2FtGg2%2FRSyiL934V8t7Ny6VfD8aHxLEoVIzS8fnbolLwn6dtCNOyl5N%2FBEUo8c3LpV8PxofELDX7fgbbRgZCCZHO2wz56LMLuX8oI1TJNLX4pjPMa95I5xQGdra5ZcYl7w3%2FA2kb&union_lens=lensId:TAPI@1585136109@0b58a106_0e74_1711179897d_c7b5@01
御泥坊男士御MEN高倍美白防晒霜喷雾户外专用紫外线晒黑控油乳霜,发型穿搭,49,天猫,2019-07-01 11:18:07,61620175815,6708287177392016654,0,0,0,79.90,0,287,3,1.05%,https://detail.tmall.com/item.htm?id=588811205217
凯文老师wlab水光防晒隔离霜女面部防紫外线防晒啫喱保湿补水乳,Kevin凯文老师,58,淘宝,2019-04-02 18:26:34,95340470217,6674909489507962116,0,0,0,68.00,0,761,72,9.46%,https://item.taobao.com/item.htm?id=589152366394
艾米优优自用卫仕卵磷脂宠物美毛粉泰迪比熊护肤软磷脂海藻粉500g,黑玫瑰优优,28,淘宝,2019-05-17 11:45:13,72900688644,6691565321079246088,0,0,0,125.00,0,9516,50,0.53%,https://s.click.taobao.com/t?e=m%3D2%26s%3Dk6LE1Emm5jdw4vFB6t2Z2ueEDrYVVa64XoO8tOebS%2BdRAdhuF14FMVKJuVFB8uFZRitN3%2FurF3xPUTXRfTxtdBjNNxDoPM6pXxvPZ6IQDhYMb6OLEDGGbSQYRxDRWsrMvXHgJC12ljz%2BfxYvzdwqOAtkyqhBb5%2B4HoaaUnJGJVNqGmoLahT%2BZzSJD1a7%2B8MkhsXx6WgCaNr4HY5qTufc09hHXoWup6v%2F1JztS5T9N8Z040xTe74sItAtu5t0lvo341YlJTA1HMO9KzILw1MW6qJn5AyUbPoV&union_lens=lensId:0b1b15bd_0c8f_16ec1aae14d_dcc5&xId=mfzdtCPEX7YpeKuZBmmwMWql2rgzX6f0jHrRnOpnI20WN90506yEfpEmE0Tqcjc3eJ7odu01o3g4t8WzXtN6BA&union_lens=lensId:0bb048ad_0cae_16ec1aae14f_2cc8
2瓶|梵贞粉底液遮瑕保湿持久控油平价底妆干皮气垫BB霜养肤CC膏女,破产仙女好物记,14,淘宝,2019-08-11 16:49:24,63334655349,6723828688036711688,0,0,0,28.00,0,1914,128,6.69%,https://s.click.taobao.com/t?e=m%3D2%26s%3DqUBlCt69j41w4vFB6t2Z2ueEDrYVVa64yK8Cckff7TVRAdhuF14FMZ9%2FelXLt%2BBVRitN3%2FurF3xPUTXRfTxtdBjNNxDoPM6pXxvPZ6IQDhYMb6OLEDGGbSQYRxDRWsrMUDcF5p3Zv%2FOo2y32hpVAi4we6%2FtGg2%2FRSyiL934V8t7Ny6VfD8aHxJ6P%2Fjo9mSm0fWsUjZoD5RAadcEmtUuFKywwt4y7iJJ8m%2FAqrVg3iolmYKmPQjlXgib4FRL6yn47QLQtqj2NQCM7Qq3IsVviSLpPcC%2BjxcBwIYULNg46oBA%3D&union_lens=lensId:TAPI@1587554791@0b847690_0ead_171a1a3afe0_981e@01
小雪梨D18神经酰胺精华液保湿修护紧致补水睡眠面膜提亮肤色,小雪梨梨梨SherryJ,42,淘宝,2019-03-28 22:29:54,57433394141,6673422042169232643,0,0,0,1.80,0,4837,133,2.75%,https://s.click.taobao.com/t?e=m%3D2%26s%3DswflWIy5iSdw4vFB6t2Z2ueEDrYVVa64XoO8tOebS%2BdRAdhuF14FMdecRratN0iI79%2FTFaMDK6RPUTXRfTxtdBjNNxDoPM6pXxvPZ6IQDhYMb6OLEDGGbSQYRxDRWsrMdjep1ZBtLZEWdxWvc6R0IAtkyqhBb5%2B4x8PUddoNe3CezgG9NfqeywojujuscY6D4JOed0Rxa6NxVTIXTFbMBmuzypk9Susg0y29cGg%2F%2FwibuYJg80O8pJfDF8hLtONLkQiIYXgiqB0g%2BBRJp5XnzaGG0TerL18CcSpj5qSCmbA%3D&union_lens=lensId:0b57b76f_0c71_16ec272219a_9ab3&xId=zmETdLkkA4KAlOMAUECIc7fAAt4CG7zLBntfuhk7W2YVbYddgZaeK2YHrtv7DAov84BBvbnMjY7ffZbDpPZYED&union_lens=lensId:0bb0d4fb_0cf8_16ec272219c_5f2b
碧蒂曼诗5合1懒人露 皮肤干燥保湿补水 敏感肌修复精华液 初遇版,武汉华纳联合药业,59,淘宝,2019-04-04 21:58:09,77391181645,6675706600772111624,0,0,0,119.00,0,348,18,5.17%,https://s.click.taobao.com/t?e=m%3D2%26s%3D5U3UhdYghnNw4vFB6t2Z2ueEDrYVVa64XoO8tOebS%2BdRAdhuF14FMfzvygAwRhCe8sviUM61dt1PUTXRfTxtdBjNNxDoPM6pXxvPZ6IQDhYMb6OLEDGGbSQYRxDRWsrMjJmrFgUFOhlbsQDa8iCin4we6%2FtGg2%2FRSyiL934V8t7Ny6VfD8aHxJ6P%2Fjo9mSm0fWsUjZoD5RC0gMDcj1t8X19sFISshia6m%2FAqrVg3iolmYKmPQjlXgib4FRL6yn47QLQtqj2NQCM7Qq3IsVviSLpPcC%2BjxcBwIYULNg46oBA%3D&union_lens=lensId:0b150f1b_0ca6_16ecb1af8a7_524b&xId=uMKq5zjQfDxHajxkak17njH2IfT6zWcLJoF4QN8I2csA4E4o0wKSOG3oszSqpSsQLRnyfPwbfIJTLnHYZlArQG&union_lens=lensId:0b1af702_0c72_16ecb1af8aa_604c
花瑶花忍冬花修护补水抗初老抗糖免洗便携睡眠面膜紧致弹润,耳火Fendy,54,淘宝,2019-09-28 17:40:31,95845330308,6741653949369076999,0,0,0,129.90,0,3128,121,3.87%,https://s.click.taobao.com/t?e=m%3D2%26s%3Dl1dQ%2FH5gEVlw4vFB6t2Z2ueEDrYVVa64yK8Cckff7TVRAdhuF14FMakeJoXRDUSOt4hWD5k2kjNPUTXRfTxtdBjNNxDoPM6pXxvPZ6IQDhYMb6OLEDGGbSQYRxDRWsrMi5AouO7MT3stRnlxdP76OIwe6%2FtGg2%2FRSyiL934V8t7Ny6VfD8aHxJ6P%2Fjo9mSm0fWsUjZoD5RD4zV9O46K3m9VoFR%2BY0FV5m%2FAqrVg3iolmYKmPQjlXgib4FRL6yn47QLQtqj2NQCM7Qq3IsVviSLpPcC%2BjxcBwIYULNg46oBA%3D&union_lens=lensId:0b57b76e_0ca3_16ebf8ee518_c48f&xId=OLbM57hgfyVdkLCiIRysHMfKheQJL7RTDIOwIkcJD9EdkfXOaI0BH36GmsOuJQ5s6iHpWKwP2WdFukxIMlsPBb&union_lens=lensId:0b0fc015_0c87_16ebf8ee51a_0f99
